name,designer,license,category,date_added
B612,"Nicolas Chauveau, Thomas Paillot, Jonathan Favre-Lamarine, Jean-Luc Vinot",OFL,SANS_SERIF,2018-11-21
B612 Mono,"Nicolas Chauveau, Thomas Paillot, Jonathan Favre-Lamarine, Jean-Luc Vinot",OFL,MONOSPACE,2018-11-21
Bad Script,Gaslight,OFL,HANDWRITING,2011-12-13
Bahiana,Omnibus-Type,OFL,DISPLAY,2016-12-02
Bahianita,Omnibus-Type,OFL,DISPLAY,2019-06-12
Bai Jamjuree,Cadson Demak,OFL,SANS_SERIF,2018-08-24
Baloo 2,Ek Type,OFL,DISPLAY,2016-01-20
Baloo,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Bhai 2,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Bhai,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Bhaijaan,Ek Type,OFL,DISPLAY,2017-06-16
Baloo Bhaina 2,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Bhaina,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Chettan 2,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Chettan,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Da 2,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Da,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Paaji 2,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Paaji,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Tamma 2,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Tamma,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Tammudu 2,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Tammudu,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Thambi 2,Ek Type,OFL,DISPLAY,2016-01-20
Baloo Thambi,Ek Type,OFL,DISPLAY,2016-01-20
Balsamiq Sans,Michael Angeles,OFL,DISPLAY,2020-04-09
Balthazar,Dario Manuel Muhafara,OFL,SERIF,2011-12-13
Bangers,Vernon Adams,OFL,DISPLAY,2011-02-09
Barlow,Jeremy Tribby,OFL,SANS_SERIF,2017-10-26
Barlow Condensed,Jeremy Tribby,OFL,SANS_SERIF,2017-10-26
Barlow Semi Condensed,Jeremy Tribby,OFL,SANS_SERIF,2017-10-26
Barriecito,Omnibus-Type,OFL,DISPLAY,2019-06-12
Barrio,Omnibus-Type,OFL,DISPLAY,2016-12-02
Basic,Magnus Gaarde,OFL,SANS_SERIF,2011-12-15
