year,title,original_title,director,languages,countries_of_origin,run_time,imdb_url
1953,Dedication of the Great Buddha,Daibutsu kaigen,Teinosuke Kinugasa,ja,JP,2h 9m,https://www.imdb.com/title/tt0044528/
1953,Doña Francisquita,,Ladislao Vajda,es,ES,1h 28m,https://www.imdb.com/title/tt0044564/
1953,Flamenco,Duende y misterio del flamenco,Edgar Neville,es,ES,1h 15m,https://www.imdb.com/title/tt0044574/
1953,Él,,Luis Buñuel,es,MX,1h 32m,https://www.imdb.com/title/tt0045361/
1953,For the Sake of My Intemperate Youth,För min heta ungdoms skull,Arne Mattsson,sv,SE,1h 55m,https://www.imdb.com/title/tt0044646/
1953,Children of Hiroshima,Genbaku no ko,Kaneto Shindô,ja,JP,1h 37m,https://www.imdb.com/title/tt0044497/
1953,Gendai-jin,,Minoru Shibuya,ja,JP,1h 52m,https://www.imdb.com/title/tt0246640/
1953,Endless Horizons,Horizons sans fin,Jean Dréville,fr,FR,1h 44m,https://www.imdb.com/title/tt0097526/
1953,I Confess,,Alfred Hitchcock,"en,fr,it,de",US,1h 35m,https://www.imdb.com/title/tt0045897/
1953,Intimate Relations,,Charles Frank,en,GB,1h 26m,https://www.imdb.com/title/tt0206046/
1953,The Wayward Wife,La provinciale,Mario Soldati,it,IT,1h 54m,https://www.imdb.com/title/tt0046214/
1953,Rossana,La red,Emilio Fernández,es,MX,1h 23m,https://www.imdb.com/title/tt0046233/
1953,La vie passionnée de Clémenceau,,Gilbert Prouteau,fr,FR,1h 35m,https://www.imdb.com/title/tt0812400/
1953,Las tres perfectas casadas,,Roberto Gavaldón,es,MX,1h 50m,https://www.imdb.com/title/tt0045260/
1953,The Wages of Fear, Le salaire de la peur,Henri-Georges Clouzot,"fr,en,es,de,it,ru","FR,IT",2h 11m,https://www.imdb.com/title/tt0046268/
1953,Monsieur Hulot's Holiday,Les vacances de Monsieur Hulot,Jacques Tati,"fr,en,de",FR,1h 54m,https://www.imdb.com/title/tt0046487/
1953,Lili,,Charles Walters,en,US,1h 21m,https://www.imdb.com/title/tt0046000/
1953,Light in the High Plains,Luz en el páramo,Víctor Urruchúa,es,VE,1h 30m,https://www.imdb.com/title/tt0201741/
1953,Green Magic,Magia verde,Gian Gaspare Napolitano,it,"IT,BR",1h 25m,https://www.imdb.com/title/tt0044867/
1953,Perfidy,Nevjera,Vladimir Pogacic,sr,YU,1h 20m,https://www.imdb.com/title/tt0174067/
1953,The Bandit,O Cangaceiro,Lima Barreto,pt,BR,1h 45m,https://www.imdb.com/title/tt0045595/
1953,Peter Pan,,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",en,US,1h 17m,https://www.imdb.com/title/tt0046183/
1953,Emergency Ward,Sala de guardia,Tulio Demicheli,es,AR,1h 41m,https://www.imdb.com/title/tt0045169/
1953,The Village,Sie fanden eine Heimat,Leopold Lindtberg,"en,de","CH,GB",1h 38m,https://www.imdb.com/title/tt0044799/
1953,Indiscretion of an American Wife,Stazione Termini,Vittorio De Sica,"it,en","IT,US",1h 30m,https://www.imdb.com/title/tt0046366/
1953,The Heart of the Matter,,George More O'Ferrall,en,GB,1h 45m,https://www.imdb.com/title/tt0047066/
1953,The Sun Shines Bright,,John Ford,"en,de",US,1h 30m,https://www.imdb.com/title/tt0046384/
1953,The White Reindeer,Valkoinen peura,Erik Blomberg,fi,FI,1h 14m,https://www.imdb.com/title/tt0045283/
1954,Before the Deluge,Avant le déluge,André Cayatte,"de,fr","FR,IT",2h 18m,https://www.imdb.com/title/tt0045525/
1954,Adventures of the Barber of Seville,Aventuras del barbero de Sevilla,Ladislao Vajda,es,"ES,FR",1h 32m,https://www.imdb.com/title/tt0045527/
1954,Beneath the 12-Mile Reef,,Robert D. Webb,"en,el",US,1h 42m,https://www.imdb.com/title/tt0045551/
1954,Neapolitan Carousel,Carosello napoletano,Ettore Giannini,it,IT,2h 9m,https://www.imdb.com/title/tt0046831/
1954,Circus Fandango,Cirkus Fandango,Arne Skouen,"fr,es,da,no",NO,1h 27m,https://www.imdb.com/title/tt0046857/
1954,Chronicle of Poor Lovers,Cronache di poveri amanti,Carlo Lizzani,it,IT,1h 47m,https://www.imdb.com/title/tt0046881/
1954,Comedians,Cómicos,Juan Antonio Bardem,es,"ES,AR",1h 32m,https://www.imdb.com/title/tt0045665/
1954,The Great Adventure,Det stora äventyret,Arne Sucksdorff,sv,SE,1h 34m,https://www.imdb.com/title/tt0046373/
1954,The Last Bridge,Die letzte Brücke,Helmut Käutner,"de,sr,en","AT,YU",1h 42m,https://www.imdb.com/title/tt0047172/
1954,Do Bigha Zamin,,Bimal Roy,hi,IN,2h 11m,https://www.imdb.com/title/tt0045693/
1954,The Martyr of Calvary,El mártir del Calvario,Miguel Morayta,es,MX,1h 53m,https://www.imdb.com/title/tt0268477/
1954,The Boy and the Fog,El niño y la niebla,Roberto Gavaldón,es,MX,1h 51m,https://www.imdb.com/title/tt0046129/
1954,The Monster,El wahsh,Salah Abouseif,ar,EG,1h 55m,https://www.imdb.com/title/tt0318821/
1954,Naked Amazon,Feitiço do Amazonas,Zygmunt Sulistrowski,pt,BR,1h 12m,https://www.imdb.com/title/tt0341351/
1954,From Here to Eternity,,Fred Zinnemann,en,US,1h 58m,https://www.imdb.com/title/tt0045793/
1954,Gate of Hell,Jigokumon,Teinosuke Kinugasa,ja,JP,1h 29m,https://www.imdb.com/title/tt0045935/
